City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,callao,-12.0667,-77.15,22.16,83,0,6.69,PE,1737591704
1,carolina beach,34.0352,-77.8936,-2.74,66,99,5.69,US,1737591706
2,suong,11.9115,105.6533,20.65,55,100,0.61,KH,1737591707
3,lebu,-37.6167,-73.65,15.25,83,33,0.76,CL,1737591450
4,adamstown,-25.066,-130.1015,25.02,79,8,3.85,PN,1737591709
5,utrik,11.2278,169.8474,26.4,78,49,9.66,MH,1737591710
6,uturoa,-16.7333,-151.4333,27.65,77,29,6.79,PF,1737591711
7,cold lake,54.4502,-110.2017,-6.03,86,75,3.09,CA,1737591713
8,ilulissat,69.2167,-51.1,-3.99,80,40,3.6,GL,1737591714
9,carnarvon,-24.8667,113.6333,26.44,83,100,2.79,AU,1737591715
10,flying fish cove,-10.4217,105.6791,24.82,94,75,2.57,CX,1737591716
11,port augusta,-32.5,137.7667,26.03,47,97,5.31,AU,1737591717
12,port-aux-francais,-49.35,70.2167,5.19,77,59,15.13,TF,1737591719
13,punta del este,-34.9667,-54.95,23.06,94,0,3.13,UY,1737591720
14,sandnessjoen,66.0217,12.6316,-6.94,79,40,4.12,NO,1737591721
15,grytviken,-54.2811,-36.5092,0.68,73,20,5.2,GS,1737591723
16,berbera,10.4396,45.0143,21.99,80,3,2.55,SO,1737591724
17,albany,42.6001,-73.9662,-10.67,60,67,1.99,US,1737591725
18,mildura,-34.2,142.15,21.15,47,99,3.66,AU,1737591726
19,wailua homesteads,22.0669,-159.378,24.44,62,20,6.17,US,1737591727
20,blackmans bay,-43.0167,147.3167,15.41,56,86,1.34,AU,1737591728
21,xiuyan,40.2928,123.2744,-5.39,42,1,1.16,CN,1737591730
22,hadibu,12.65,54.0333,22.26,68,20,6.58,YE,1737591731
23,edinburgh of the seven seas,-37.0676,-12.3116,17.35,85,100,0.45,SH,1737591732
24,koungheul,13.9833,-14.8,24.13,12,4,4.66,SN,1737591733
25,n'dalatando,-9.2978,14.9116,18.88,99,93,1.0,AO,1737591734
26,nuku'alofa,-21.1333,-175.2,28.19,94,75,1.54,TO,1737591736
27,mamadysh,55.7152,51.408,-19.44,84,93,3.12,RU,1737591737
28,queenstown,-31.8976,26.8753,17.54,77,16,2.05,ZA,1737591738
29,hithadhoo,-0.6,73.0833,27.47,73,99,5.44,MV,1737591552
30,fort bragg,35.139,-79.006,-3.09,54,0,0.0,US,1737591740
31,kargopol',61.5071,38.9456,-5.73,94,100,4.14,RU,1737591742
32,ribeira grande,38.5167,-28.7,15.99,77,20,4.47,PT,1737591743
33,mossel bay,-34.1831,22.146,18.96,87,98,0.37,ZA,1737591745
34,tvoroyri,61.5556,-6.8111,5.57,84,100,10.09,FO,1737591746
35,anadyr,64.75,177.4833,-12.72,85,75,11.0,RU,1737591747
36,cutral-co,-38.9469,-69.2089,28.12,11,47,11.62,AR,1737591748
37,bredasdorp,-34.5322,20.0403,20.59,94,85,1.2,ZA,1737591749
38,papatowai,-46.5619,169.4708,11.79,96,100,5.89,NZ,1737591751
39,calama,-22.4667,-68.9333,18.27,24,0,10.29,CL,1737591521
40,vredendal,-31.6683,18.5012,18.28,95,51,2.8,ZA,1737591753
41,at taj,24.2049,23.2857,12.92,54,0,4.4,LY,1737591754
42,damavand,35.7178,52.065,-3.44,54,1,2.21,IR,1737591755
43,quellon,-43.1167,-73.6167,12.77,98,100,5.32,CL,1737591757
44,novyy urengoy,66.0833,76.6333,-27.4,96,89,7.82,RU,1737591758
45,kindu,-2.95,25.95,21.09,99,94,1.24,CD,1737591759
46,nieuw amsterdam,5.8833,-55.0833,25.01,94,40,0.0,SR,1737591760
47,walvis bay,-22.9575,14.5053,19.22,90,81,1.49,NA,1737591761
48,dolbeau-mistassini,48.8763,-72.212,-23.74,94,56,1.01,CA,1737591762
49,bilibino,68.0546,166.4372,-30.39,98,100,0.87,RU,1737591763
50,rongelap,11.1635,166.8941,26.81,75,51,9.76,MH,1737591755
51,bethel,41.3712,-73.414,-9.1,57,0,2.06,US,1737591754
52,afaahiti,-17.75,-149.2833,26.5,79,61,6.89,PF,1737591767
